code,date,time,price,quantity,direction,profit_loss,current_cash,currentCommission,currentMargin,contract_type
IC2003,20200101,14:00:00,5347.6,1,1,1069520.0,8930455.401039999,24.59896,128342.4,currentSeason
IC2003,20200217,14:00:00,5524.8,1,2,-1104960.0,10035389.98696,25.41408,-132595.19999999998,currentSeason
IC2006,20200217,14:00:00,5439.4,1,1,1087880.0,8947484.96572,25.02124,130545.59999999999,currentSeason
IC2006,20200518,14:00:00,5438.8,1,2,-1087760.0,10035219.947239999,25.01848,-130531.2,currentSeason
IC2009,20200518,14:00:00,5245.8,1,1,1049160.0,8986035.816559998,24.13068,125899.2,currentSeason
IC2009,20200817,14:00:00,6633.8,1,2,-1326760.0,10312765.301079998,30.51548,-159211.19999999998,currentSeason
IC2012,20200817,14:00:00,6435.4,1,1,1287080.0,9025655.698239997,29.60284,154449.6,currentSeason
IC2012,20201116,14:00:00,6282.0,1,2,-1256400.0,10282026.801039997,28.8972,-150768.0,currentSeason
IC2103,20201116,14:00:00,6092.6,1,1,1218520.0,9063478.775079997,28.02596,146222.4,currentSeason
IC2103,20210218,14:00:00,6527.6,1,2,-1305520.0,10368968.748119997,30.02696,-156662.4,currentSeason
IC2106,20210218,14:00:00,6319.2,1,1,1263840.0,9105099.679799996,29.06832,151660.8,currentSeason
IC2106,20210517,14:00:00,6516.8,1,2,-1303360.0,10408429.702519996,29.97728,-156403.19999999998,currentSeason
IC2109,20210517,14:00:00,6366.2,1,1,1273240.0,9135160.417999996,29.28452,152788.8,currentSeason
IC2109,20210816,14:00:00,6988.4,1,2,-1397680.0,10532808.271359995,32.14664,-167721.6,currentSeason
IC2112,20210816,14:00:00,6821.0,1,1,1364200.0,9168576.894759994,31.3766,163704.0,currentSeason
IC2112,20211115,14:00:00,7069.4,1,2,-1413880.0,10582424.375519995,32.51924,-169665.6,currentSeason
IC2203,20211115,14:00:00,6924.6,1,1,1384920.0,9197472.522359995,31.85316,166190.4,currentSeason
IC2203,20220214,14:00:00,6699.8,1,2,-1339960.0,10537401.703279994,30.81908,-160795.19999999998,currentSeason
IC2206,20220214,14:00:00,6606.2,1,1,1321240.0,9216131.314759994,30.38852,158548.8,currentSeason
IC2206,20220516,14:00:00,5725.2,1,2,-1145040.0,10361144.978839993,26.33592,-137404.8,currentSeason
IC2209,20220516,14:00:00,5597.8,1,1,1119560.0,9241559.228959993,25.74988,134347.19999999998,currentSeason
IC2209,20220815,14:00:00,6420.8,1,2,-1284160.0,10525689.693279993,29.53568,-154099.19999999998,currentSeason
IC2212,20220815,14:00:00,6320.0,1,1,1264000.0,9261660.621279992,29.072,151680.0,currentSeason
IC2212,20221114,14:00:00,6131.4,1,2,-1226280.0,10487912.416839993,28.20444,-147153.6,currentSeason
IC2303,20221114,14:00:00,6101.2,1,1,1220240.0,9267644.351319993,28.06552,146428.8,currentSeason
IC2303,20230213,14:00:00,6354.0,1,2,-1270800.0,10538415.122919993,29.2284,-152496.0,currentSeason
IC2306,20230213,14:00:00,6296.0,1,1,1259200.0,9279186.161319993,28.9616,151104.0,currentSeason
IC2306,20230515,14:00:00,6101.4,1,2,-1220280.0,10499438.094879994,28.06644,-146433.6,currentSeason
IC2309,20230515,14:00:00,6043.8,1,1,1208760.0,9290650.293399993,27.80148,145051.19999999998,currentSeason
IC2309,20230814,14:00:00,5897.8,1,2,-1179560.0,10470183.163519993,27.12988,-141547.19999999998,currentSeason
IC2312,20230814,14:00:00,5889.8,1,1,1177960.0,9292196.070439994,27.09308,141355.19999999998,currentSeason
IC2312,20231113,14:00:00,5572.8,1,2,-1114560.0,10406730.435559994,25.63488,-133747.19999999998,currentSeason
IC2403,20231113,14:00:00,5541.4,1,1,1108280.0,9298424.945119994,25.49044,132993.6,currentSeason
IC2403,20240219,14:00:00,5057.8,1,2,-1011560.0,10309961.679239994,23.26588,-121387.2,currentSeason
IC2406,20240219,14:00:00,4962.8,1,1,992560.0,9317378.850359993,22.82888,119107.2,currentSeason
IC2406,20240520,14:00:00,5480.8,1,2,-1096160.0,10413513.638679992,25.21168,-131539.19999999998,currentSeason
IC2409,20240520,14:00:00,5430.0,1,1,1086000.0,9327488.660679992,24.978,130320.0,currentSeason
IC2409,20240819,14:00:00,4668.2,1,2,-933640.0,10261107.186959993,21.47372,-112036.8,currentSeason
IC2412,20240819,14:00:00,4609.2,1,1,921840.0,9339245.984639993,21.20232,110620.8,currentSeason
